C:\udemy_end2end_data\01\IMG\center_2022_07_20_14_47_21_028.jpg, C:\udemy_end2end_data\01\IMG\left_2022_07_20_14_47_21_028.jpg, C:\udemy_end2end_data\01\IMG\right_2022_07_20_14_47_21_028.jpg, 0, 0, 0, 7.908695E-05
C:\udemy_end2end_data\01\IMG\center_2022_07_20_14_47_21_136.jpg, C:\udemy_end2end_data\01\IMG\left_2022_07_20_14_47_21_136.jpg, C:\udemy_end2end_data\01\IMG\right_2022_07_20_14_47_21_136.jpg, 0, 0, 0, 8.247279E-05
C:\udemy_end2end_data\01\IMG\center_2022_07_20_14_47_21_242.jpg, C:\udemy_end2end_data\01\IMG\left_2022_07_20_14_47_21_242.jpg, C:\udemy_end2end_data\01\IMG\right_2022_07_20_14_47_21_242.jpg, 0, 0, 0, 7.902525E-05
C:\udemy_end2end_data\01\IMG\center_2022_07_20_14_47_21_345.jpg, C:\udemy_end2end_data\01\IMG\left_2022_07_20_14_47_21_345.jpg, C:\udemy_end2end_data\01\IMG\right_2022_07_20_14_47_21_345.jpg, 0, 0, 0, 7.839163E-05
C:\udemy_end2end_data\01\IMG\center_2022_07_20_14_47_21_450.jpg, C:\udemy_end2end_data\01\IMG\left_2022_07_20_14_47_21_450.jpg, C:\udemy_end2end_data\01\IMG\right_2022_07_20_14_47_21_450.jpg, 0, 0, 0, 7.841746E-05
C:\udemy_end2end_data\01\IMG\center_2022_07_20_14_47_21_555.jpg, C:\udemy_end2end_data\01\IMG\left_2022_07_20_14_47_21_555.jpg, C:\udemy_end2end_data\01\IMG\right_2022_07_20_14_47_21_555.jpg, 0, 0, 0, 7.842027E-05
C:\udemy_end2end_data\01\IMG\center_2022_07_20_14_47_21_659.jpg, C:\udemy_end2end_data\01\IMG\left_2022_07_20_14_47_21_659.jpg, C:\udemy_end2end_data\01\IMG\right_2022_07_20_14_47_21_659.jpg, 0, 0, 0, 7.796087E-05
C:\udemy_end2end_data\01\IMG\center_2022_07_20_14_47_21_761.jpg, C:\udemy_end2end_data\01\IMG\left_2022_07_20_14_47_21_761.jpg, C:\udemy_end2end_data\01\IMG\right_2022_07_20_14_47_21_761.jpg, 0, 0, 0, 7.792576E-05
C:\udemy_end2end_data\01\IMG\center_2022_07_20_14_47_21_863.jpg, C:\udemy_end2end_data\01\IMG\left_2022_07_20_14_47_21_863.jpg, C:\udemy_end2end_data\01\IMG\right_2022_07_20_14_47_21_863.jpg, 0, 0, 0, 7.874311E-05
C:\udemy_end2end_data\01\IMG\center_2022_07_20_14_47_21_966.jpg, C:\udemy_end2end_data\01\IMG\left_2022_07_20_14_47_21_966.jpg, C:\udemy_end2end_data\01\IMG\right_2022_07_20_14_47_21_966.jpg, 0, 0, 0, 7.87692E-05
C:\udemy_end2end_data\01\IMG\center_2022_07_20_14_47_22_069.jpg, C:\udemy_end2end_data\01\IMG\left_2022_07_20_14_47_22_069.jpg, C:\udemy_end2end_data\01\IMG\right_2022_07_20_14_47_22_069.jpg, 0, 0, 0, 7.784897E-05
C:\udemy_end2end_data\01\IMG\center_2022_07_20_14_47_22_174.jpg, C:\udemy_end2end_data\01\IMG\left_2022_07_20_14_47_22_174.jpg, C:\udemy_end2end_data\01\IMG\right_2022_07_20_14_47_22_174.jpg, 0, 0, 0, 7.786785E-05
C:\udemy_end2end_data\01\IMG\center_2022_07_20_14_47_22_279.jpg, C:\udemy_end2end_data\01\IMG\left_2022_07_20_14_47_22_279.jpg, C:\udemy_end2end_data\01\IMG\right_2022_07_20_14_47_22_279.jpg, 0, 0, 0, 7.869204E-05
C:\udemy_end2end_data\01\IMG\center_2022_07_20_14_47_22_384.jpg, C:\udemy_end2end_data\01\IMG\left_2022_07_20_14_47_22_384.jpg, C:\udemy_end2end_data\01\IMG\right_2022_07_20_14_47_22_384.jpg, 0, 0, 0, 7.800007E-05
C:\udemy_end2end_data\01\IMG\center_2022_07_20_14_47_22_488.jpg, C:\udemy_end2end_data\01\IMG\left_2022_07_20_14_47_22_488.jpg, C:\udemy_end2end_data\01\IMG\right_2022_07_20_14_47_22_488.jpg, 0, 0, 0, 7.988151E-05
C:\udemy_end2end_data\01\IMG\center_2022_07_20_14_47_22_590.jpg, C:\udemy_end2end_data\01\IMG\left_2022_07_20_14_47_22_590.jpg, C:\udemy_end2end_data\01\IMG\right_2022_07_20_14_47_22_590.jpg, 0, 0, 0, 7.955441E-05
C:\udemy_end2end_data\01\IMG\center_2022_07_20_14_47_22_696.jpg, C:\udemy_end2end_data\01\IMG\left_2022_07_20_14_47_22_696.jpg, C:\udemy_end2end_data\01\IMG\right_2022_07_20_14_47_22_696.jpg, -0.0490854, 0, 0, 8.00339E-05
C:\udemy_end2end_data\01\IMG\center_2022_07_20_14_47_22_802.jpg, C:\udemy_end2end_data\01\IMG\left_2022_07_20_14_47_22_802.jpg, C:\udemy_end2end_data\01\IMG\right_2022_07_20_14_47_22_802.jpg, -0.367977, 0, 0, 9.103731E-05
C:\udemy_end2end_data\01\IMG\center_2022_07_20_14_47_22_907.jpg, C:\udemy_end2end_data\01\IMG\left_2022_07_20_14_47_22_907.jpg, C:\udemy_end2end_data\01\IMG\right_2022_07_20_14_47_22_907.jpg, -0.6800225, 0.3120456, 0, 0.1838227
